Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s),NR UL BW
Thu Aug 11 13:41:30 UTC 2022,-97,-12,-63,0,0,0,2237,0,0
Thu Aug 11 13:41:33 UTC 2022,-98,-9,-69,0,0,0,2237,0,0
Thu Aug 11 13:41:36 UTC 2022,-97,-11,-65,0,0,0,2237,0,0
Thu Aug 11 13:41:39 UTC 2022,-97,-12,-64,0,0,0,2237,0,0
Thu Aug 11 13:41:42 UTC 2022,-97,-8,-68,0,0,0,2237,0,0
Thu Aug 11 13:41:45 UTC 2022,-97,-9,-68,0,0,0,2237,0,0
Thu Aug 11 13:41:48 UTC 2022,-97,-10,-67,0,0,0,2237,0,0
Thu Aug 11 13:41:51 UTC 2022,-97,-9,-68,0,0,0,2237,0,0
Thu Aug 11 13:41:54 UTC 2022,-97,-12,-64,0,0,0,2886,0.00172778858210256,0
Thu Aug 11 13:41:57 UTC 2022,-95,-9,-65,0,0,0,7235,0.0114086775213792,0
Thu Aug 11 13:42:00 UTC 2022,-94,-12,-61,0,0,0,7315,0.00020922837718711,0
Thu Aug 11 13:42:04 UTC 2022,-94,-12,-61,0,0,0,9168,0.00486373493590572,0
Thu Aug 11 13:42:06 UTC 2022,-96,-10,-65,0,0,0,6047658,15.2220688639274,0
Thu Aug 11 13:42:09 UTC 2022,-95,-10,-66,0,0,0,10950612,13.4107948530897,0
Thu Aug 11 13:42:12 UTC 2022,-96,-10,-66,0,0,0,16211628,14.4714347285235,0
Thu Aug 11 13:42:15 UTC 2022,-96,-10,-66,0,0,0,22217110,16.4390499264942,0
Thu Aug 11 13:42:18 UTC 2022,-98,-10,-66,0,0,0,28508710,16.9134037113814,0
Thu Aug 11 13:42:21 UTC 2022,-95,-10,-62,0,0,0,34461762,16.2012904551234,0
Thu Aug 11 13:42:24 UTC 2022,-93,-9,-63,0,0,0,40031326,14.9528615065039,0
Thu Aug 11 13:42:27 UTC 2022,-94,-9,-63,0,0,0,47456912,19.9573673119905,0
Thu Aug 11 13:42:30 UTC 2022,-93,-9,-67,0,0,0,55459228,21.7307405682671,0
Thu Aug 11 13:42:33 UTC 2022,-95,-10,-65,0,0,0,62799428,19.7254745600848,0
Thu Aug 11 13:42:36 UTC 2022,-93,-10,-62,0,0,0,70470686,20.8282804216428,0
Thu Aug 11 13:42:39 UTC 2022,-94,-10,-65,0,0,0,77012452,16.8948461289352,0
Thu Aug 11 13:42:42 UTC 2022,-94,-9,-66,0,0,0,84267266,19.5226266368457,0
Thu Aug 11 13:42:45 UTC 2022,-94,-10,-64,0,0,0,93280732,24.6378406308566,0
Thu Aug 11 13:42:48 UTC 2022,-94,-10,-64,0,0,0,103341352,27.3468254270643,0
Thu Aug 11 13:42:51 UTC 2022,-93,-10,-64,0,0,0,113028918,26.3491225776457,0
Thu Aug 11 13:42:54 UTC 2022,-95,-10,-66,0,0,0,123522408,28.8411465848261,0
Thu Aug 11 13:42:57 UTC 2022,-95,-10,-63,0,0,0,132667750,25.0241886798472,0
Thu Aug 11 13:43:00 UTC 2022,-96,-9,-70,0,0,0,139682936,18.5212102956299,0
Thu Aug 11 13:43:03 UTC 2022,-98,-10,-67,0,0,0,146539334,18.7442389172131,0
Thu Aug 11 13:43:06 UTC 2022,-97,-9,-71,0,0,0,153516077,18.937752878306,0
Thu Aug 11 13:43:09 UTC 2022,-100,-10,-68,0,0,0,159642949,16.5741846379807,0
Thu Aug 11 13:43:12 UTC 2022,-99,-10,-67,0,0,0,167963398,21.5397110958932,0
Thu Aug 11 13:43:15 UTC 2022,-98,-10,-67,0,0,0,174987520,19.1168166681114,0
Thu Aug 11 13:43:18 UTC 2022,-98,-10,-68,0,0,0,180961544,15.3401642462785,0
Thu Aug 11 13:43:21 UTC 2022,-97,-9,-68,0,0,0,188968354,21.8106201334593,0
Thu Aug 11 13:43:24 UTC 2022,-86,-9,-59,0,0,0,199822862,29.4567310887474,0
Thu Aug 11 13:43:26 UTC 2022,-91,-10,-59,0,0,0,213806692,38.0185915048499,0
Thu Aug 11 13:43:29 UTC 2022,-88,-10,-55,0,0,0,224992258,30.4539683940713,0
Thu Aug 11 13:43:32 UTC 2022,-86,-10,-54,0,0,0,234813146,26.5177262322221,0
Thu Aug 11 13:43:35 UTC 2022,-90,-9,-61,0,0,0,243576446,23.8796569031376,0
Thu Aug 11 13:43:38 UTC 2022,-89,-9,-59,0,0,0,254892338,30.7942639388571,0
Thu Aug 11 13:43:41 UTC 2022,-93,-9,-65,0,0,0,265612026,29.1486610620989,0
Thu Aug 11 13:43:44 UTC 2022,-90,-9,-60,0,0,0,272967206,19.302121928517,0
Thu Aug 11 13:43:47 UTC 2022,-92,-9,-63,0,0,0,280972518,21.3891390639854,0
Thu Aug 11 13:43:50 UTC 2022,-91,-9,-65,0,0,0,287953198,18.329138929445,0
Thu Aug 11 13:43:53 UTC 2022,-94,-9,-63,0,0,0,296217716,22.4191533583731,0
Thu Aug 11 13:43:56 UTC 2022,-89,-10,-56,0,0,0,305342034,24.8080923776244,0
Thu Aug 11 13:43:59 UTC 2022,-90,-9,-58,0,0,0,313312892,21.4334544620927,0
Thu Aug 11 13:44:02 UTC 2022,-92,-9,-62,0,0,0,319949304,18.148668736339,0
Thu Aug 11 13:44:05 UTC 2022,-93,-9,-61,0,0,0,326834112,18.5058407320386,0
Thu Aug 11 13:44:08 UTC 2022,-94,-9,-61,0,0,0,333687514,18.5166585406055,0
Thu Aug 11 13:44:11 UTC 2022,-90,-9,-61,0,0,0,339233110,14.2565167564146,0
Thu Aug 11 13:44:14 UTC 2022,-93,-9,-69,0,0,0,348063820,24.1901916581414,0
Thu Aug 11 13:44:17 UTC 2022,-89,-10,-58,0,0,0,355135878,18.0418021479265,0
Thu Aug 11 13:44:20 UTC 2022,-94,-10,-64,0,0,0,365064622,26.9828215418907,0
Thu Aug 11 13:44:23 UTC 2022,-96,-10,-65,0,0,0,371657320,17.8487227232022,0
Thu Aug 11 13:44:26 UTC 2022,-94,-10,-68,0,0,0,379033472,20.061115189099,0
Thu Aug 11 13:44:29 UTC 2022,-96,-9,-65,0,0,0,384378336,13.9750463348225,0
Thu Aug 11 13:44:32 UTC 2022,-97,-9,-68,0,0,0,390281954,16.2241131187579,0
Thu Aug 11 13:44:35 UTC 2022,-98,-9,-70,0,0,0,396155612,15.9378126616258,0
Thu Aug 11 13:44:38 UTC 2022,-97,-10,-67,0,0,0,402790811,17.8514692787219,0
Thu Aug 11 13:44:41 UTC 2022,-89,-9,-55,0,0,0,412562265,26.4082140975252,0
Thu Aug 11 13:44:44 UTC 2022,-94,-9,-62,0,0,0,420563461,21.7851020558905,0
Thu Aug 11 13:44:47 UTC 2022,-98,-9,-64,0,0,0,427887275,19.7789474792287,0
Thu Aug 11 13:44:50 UTC 2022,-98,-10,-71,0,0,0,435549545,20.3974997934876,0
Thu Aug 11 13:44:53 UTC 2022,-93,-10,-65,0,0,0,444867105,25.487520574441,0
Thu Aug 11 13:44:56 UTC 2022,-87,-9,-56,0,0,0,463906685,49.3001415096099,0
Thu Aug 11 13:44:59 UTC 2022,-84,-9,-53,0,0,0,484612041,56.0023904752349,0
Thu Aug 11 13:45:02 UTC 2022,-84,-9,-54,0,0,0,502937976,49.9662314183426,0
Thu Aug 11 13:45:05 UTC 2022,-79,-9,-48,0,0,0,526217235,63.1037813079473,0
Thu Aug 11 13:45:08 UTC 2022,-81,-9,-52,0,0,0,549279886,62.5759549896554,0
Thu Aug 11 13:45:11 UTC 2022,-81,-10,-49,0,0,0,572121025,62.3072120016804,0
Thu Aug 11 13:45:13 UTC 2022,-81,-9,-53,0,0,0,594302498,59.9459539671646,0
Thu Aug 11 13:45:16 UTC 2022,-85,-8,-56,0,0,0,610544416,43.9667082766882,0
Thu Aug 11 13:45:19 UTC 2022,-91,-8,-61,0,0,0,623790072,36.041128590086,0
Thu Aug 11 13:45:22 UTC 2022,-89,-8,-59,0,0,0,636731294,35.1956881640239,0
