Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Tue Jan 11 13:39:24 UTC 2022,-85,-12,-53,0,0,0,782048,0
Tue Jan 11 13:39:27 UTC 2022,-85,-7,-58,0,0,0,782048,0.0
Tue Jan 11 13:39:30 UTC 2022,-86,-8,-57,0,0,0,782048,0.0
Tue Jan 11 13:39:33 UTC 2022,-86,-8,-57,0,0,0,782048,0.0
Tue Jan 11 13:39:36 UTC 2022,-86,-10,-56,0,0,0,782048,0.0
Tue Jan 11 13:39:39 UTC 2022,-90,-7,-63,0,0,0,13712784,34.014071672792845
Tue Jan 11 13:39:42 UTC 2022,-90,-7,-63,0,0,0,33350066,53.36039639645378
Tue Jan 11 13:39:45 UTC 2022,-90,-7,-63,0,0,0,51974700,49.87252990252834
Tue Jan 11 13:39:48 UTC 2022,-90,-8,-63,0,0,0,71940044,54.08641662466551
Tue Jan 11 13:39:51 UTC 2022,-90,-7,-62,0,0,0,90172202,46.370556278029696
Tue Jan 11 13:39:54 UTC 2022,-90,-7,-64,0,0,0,106398538,43.365943072405514
Tue Jan 11 13:39:57 UTC 2022,-91,-8,-64,0,0,0,122529002,44.07207332303067
Tue Jan 11 13:40:00 UTC 2022,-91,-8,-64,0,0,0,137158470,39.67670579437145
Tue Jan 11 13:40:03 UTC 2022,-90,-7,-64,0,0,0,152652284,41.37238559449673
Tue Jan 11 13:40:06 UTC 2022,-90,-8,-60,0,0,0,166582186,37.66120550302498
Tue Jan 11 13:40:09 UTC 2022,-90,-9,-60,0,0,0,181247606,39.26412795623206
Tue Jan 11 13:40:12 UTC 2022,-90,-8,-60,0,0,0,195093620,37.92016668204158
Tue Jan 11 13:40:15 UTC 2022,-91,-9,-62,0,0,0,210777680,43.05018253212531
Tue Jan 11 13:40:18 UTC 2022,-91,-8,-64,0,0,0,226446760,40.57621793759206
Tue Jan 11 13:40:21 UTC 2022,-91,-9,-61,0,0,0,241052260,39.95869631074414
