Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Mon Jun 27 09:28:11 UTC 2022,-83,-14,-51,0,0,0,4518,0
Mon Jun 27 09:28:14 UTC 2022,-83,-11,-56,0,0,0,4518,0.0
Mon Jun 27 09:28:17 UTC 2022,-85,-11,-60,0,0,0,23096,0.04890325772695202
Mon Jun 27 09:28:20 UTC 2022,-84,-8,-61,0,0,0,23096,0.0
Mon Jun 27 09:28:23 UTC 2022,-84,-10,-60,0,0,0,23224,0.00033738029308590713
Mon Jun 27 09:28:26 UTC 2022,-84,-12,-51,0,0,0,23224,0.0
Mon Jun 27 09:28:29 UTC 2022,-84,-10,-60,0,0,0,23224,0.0
Mon Jun 27 09:28:33 UTC 2022,-84,-12,-55,0,0,0,23224,0.0
Mon Jun 27 09:28:36 UTC 2022,-85,-8,-60,0,0,0,23224,0.0
Mon Jun 27 09:28:39 UTC 2022,-85,-14,-53,0,0,0,23224,0.0
Mon Jun 27 09:28:42 UTC 2022,-84,-12,-53,0,0,0,23224,0.0
Mon Jun 27 09:28:45 UTC 2022,-85,-9,-60,0,0,0,32140,0.02366736589119941
Mon Jun 27 09:28:48 UTC 2022,-85,-9,-59,0,0,0,45803,0.03588000039566975
Mon Jun 27 09:28:51 UTC 2022,-85,-11,-53,0,0,0,45803,0.0
Mon Jun 27 09:28:54 UTC 2022,-85,-9,-52,0,0,0,49115,0.008586411261875987
Mon Jun 27 09:28:57 UTC 2022,-85,-9,-61,0,0,0,49583,0.0012552353354701319
Mon Jun 27 09:29:00 UTC 2022,-85,-9,-61,0,0,0,49687,0.00027112612828189217
Mon Jun 27 09:29:03 UTC 2022,-85,-8,-61,0,0,0,49739,0.00013785260590278418
Mon Jun 27 09:29:06 UTC 2022,-84,-8,-59,0,0,0,50155,0.0010881042631967468
Mon Jun 27 09:29:09 UTC 2022,-84,-9,-58,0,0,0,50387,0.0006251035811958495
Mon Jun 27 09:29:12 UTC 2022,-85,-9,-57,0,0,0,69510,0.05132381629158065
Mon Jun 27 09:29:15 UTC 2022,-85,-9,-58,0,0,0,69874,0.0009288371935943762
Mon Jun 27 09:29:18 UTC 2022,-85,-9,-57,0,0,0,70082,0.0005500590895522681
Mon Jun 27 09:29:21 UTC 2022,-85,-9,-58,0,0,0,70238,0.0004089327948147154
Mon Jun 27 09:29:24 UTC 2022,-85,-8,-61,0,0,0,70290,0.00013962899898976004
Mon Jun 27 09:29:27 UTC 2022,-85,-10,-58,0,0,0,70706,0.0010479323115152944
Mon Jun 27 09:29:30 UTC 2022,-85,-8,-61,0,0,0,70862,0.0004114183723219143
Mon Jun 27 09:29:33 UTC 2022,-85,-7,-61,0,0,0,70966,0.00027803219803197965
Mon Jun 27 09:29:36 UTC 2022,-85,-9,-58,0,0,0,71330,0.0009822395923108885
Mon Jun 27 09:29:39 UTC 2022,-85,-9,-59,0,0,0,71538,0.0005469064540283051
Mon Jun 27 09:29:42 UTC 2022,-84,-9,-57,0,0,0,72502,0.0024209963279823972
Mon Jun 27 09:29:46 UTC 2022,-84,-9,-57,0,0,0,72697,0.0005171106444465286
Mon Jun 27 09:29:49 UTC 2022,-85,-9,-60,0,0,0,76083,0.00860486790604951
Mon Jun 27 09:29:52 UTC 2022,-84,-10,-59,0,0,0,130503,0.14325857481766105
Mon Jun 27 09:29:55 UTC 2022,-84,-9,-60,0,0,0,131058,0.0014542452535424688
Mon Jun 27 09:29:58 UTC 2022,-84,-7,-61,0,0,0,131924,0.002249135584523236
Mon Jun 27 09:30:01 UTC 2022,-84,-8,-61,0,0,0,134333,0.006465201524634041
Mon Jun 27 09:30:04 UTC 2022,-84,-9,-55,0,0,0,150422,0.042028820766202554
Mon Jun 27 09:30:07 UTC 2022,-84,-7,-54,0,0,0,153478,0.008040763029694342
