Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s),NR UL BW
Sat Aug 20 13:28:14 UTC 2022,-95,-10,-64,0,0,0,389657,0,0
Sat Aug 20 13:28:18 UTC 2022,-95,-10,-64,0,0,0,389777,0.000314836125971365,0
Sat Aug 20 13:28:21 UTC 2022,-95,-9,-66,0,0,0,389777,0.0,0
Sat Aug 20 13:28:24 UTC 2022,-95,-9,-63,0,0,0,389777,0.0,0
Sat Aug 20 13:28:27 UTC 2022,-93,-8,-65,0,0,0,389777,0.0,0
Sat Aug 20 13:28:30 UTC 2022,-94,-8,-66,0,0,0,389777,0.0,0
Sat Aug 20 13:28:33 UTC 2022,-95,-9,-68,0,0,0,389931,0.00040183913893669063,0
Sat Aug 20 13:28:36 UTC 2022,-99,-9,-68,0,0,0,389931,0.0,0
Sat Aug 20 13:28:39 UTC 2022,-96,-8,-67,0,0,0,389931,0.0,0
Sat Aug 20 13:28:42 UTC 2022,-95,-10,-64,0,0,0,389931,0.0,0
Sat Aug 20 13:28:45 UTC 2022,-97,-11,-62,0,0,0,393388,0.009152643638554924,0
Sat Aug 20 13:28:48 UTC 2022,-96,-11,-66,0,0,0,393510,0.00031912634339977604,0
Sat Aug 20 13:28:51 UTC 2022,-95,-9,-67,0,0,0,393510,0.0,0
Sat Aug 20 13:28:54 UTC 2022,-96,-9,-67,0,0,0,393510,0.0,0
Sat Aug 20 13:28:57 UTC 2022,-96,-9,-65,0,0,0,395593,0.005461929653642751,0
Sat Aug 20 13:29:00 UTC 2022,-95,-9,-67,0,0,0,395710,0.0003088557299653999,0
Sat Aug 20 13:29:03 UTC 2022,-95,-8,-67,0,0,0,395710,0.0,0
Sat Aug 20 13:29:06 UTC 2022,-96,-9,-67,0,0,0,395710,0.0,0
Sat Aug 20 13:29:09 UTC 2022,-96,-10,-65,0,0,0,395710,0.0,0
Sat Aug 20 13:29:12 UTC 2022,-96,-9,-66,0,0,0,395785,0.00020241922995774337,0
Sat Aug 20 13:29:15 UTC 2022,-96,-9,-65,0,0,0,400627,0.012775498525192828,0
Sat Aug 20 13:29:18 UTC 2022,-95,-10,-64,0,0,0,400627,0.0,0
Sat Aug 20 13:29:21 UTC 2022,-95,-8,-66,0,0,0,400627,0.0,0
Sat Aug 20 13:29:24 UTC 2022,-94,-9,-65,0,0,0,400781,0.00041134174703050404,0
Sat Aug 20 13:29:27 UTC 2022,-94,-10,-66,0,0,0,400781,0.0,0
Sat Aug 20 13:29:30 UTC 2022,-95,-9,-66,0,0,0,3694883,8.862257037827014,0
Sat Aug 20 13:29:33 UTC 2022,-96,-9,-67,0,0,0,10970669,19.58590880091556,0
Sat Aug 20 13:29:36 UTC 2022,-94,-9,-60,0,0,0,17569597,17.38217793772814,0
Sat Aug 20 13:29:39 UTC 2022,-92,-9,-64,0,0,0,25543451,21.48632439039943,0
Sat Aug 20 13:29:42 UTC 2022,-92,-8,-65,0,0,0,33637145,21.749424026088356,0
Sat Aug 20 13:29:45 UTC 2022,-94,-9,-61,0,0,0,41208037,20.120997147152586,0
Sat Aug 20 13:29:48 UTC 2022,-94,-9,-61,0,0,0,49587924,22.85740716652461,0
Sat Aug 20 13:29:51 UTC 2022,-95,-9,-66,0,0,0,57630686,21.236766619013277,0
