Time,rsrpVal_signal_info(dBm),rsrqVal_signal_info(dB),rssilte_signal_info(dBm),snrVal_signal_info(dB),Sent Bytes,RATE(MBit/s)
Sat Aug 20 13:28:14 UTC 2022,-94.0,-13.0,-60.0,12.2,304,0
Sat Aug 20 13:28:18 UTC 2022,-94.0,-13.0,-60.0,11.4,304,0.0
Sat Aug 20 13:28:21 UTC 2022,-94.0,-13.0,-60.0,9.0,304,0.0
Sat Aug 20 13:28:24 UTC 2022,-94.0,-13.0,-66.0,16.8,304,0.0
Sat Aug 20 13:28:27 UTC 2022,-94.0,-13.0,-66.0,14.6,304,0.0
Sat Aug 20 13:28:30 UTC 2022,-94.0,-13.0,-66.0,17.0,304,0.0
Sat Aug 20 13:28:33 UTC 2022,-94.0,-13.0,-66.0,17.2,304,0.0
Sat Aug 20 13:28:36 UTC 2022,-94.0,-13.0,-66.0,2.6,304,0.0
Sat Aug 20 13:28:39 UTC 2022,-94.0,-13.0,-66.0,16.4,304,0.0
Sat Aug 20 13:28:42 UTC 2022,-94.0,-13.0,-66.0,15.0,304,0.0
Sat Aug 20 13:28:45 UTC 2022,-94.0,-13.0,-66.0,11.4,304,0.0
Sat Aug 20 13:28:48 UTC 2022,-94.0,-13.0,-66.0,13.2,304,0.0
Sat Aug 20 13:28:51 UTC 2022,-125,-125,-125,-125,304,0.0
Sat Aug 20 13:28:54 UTC 2022,-94.0,-13.0,-66.0,5.8,304,0.0
Sat Aug 20 13:28:57 UTC 2022,-94.0,-13.0,-66.0,12.8,304,0.0
Sat Aug 20 13:29:00 UTC 2022,-94.0,-13.0,-66.0,3.2,304,0.0
Sat Aug 20 13:29:03 UTC 2022,-94.0,-13.0,-66.0,17.0,304,0.0
Sat Aug 20 13:29:06 UTC 2022,-94.0,-13.0,-66.0,18.0,304,0.0
Sat Aug 20 13:29:09 UTC 2022,-94.0,-13.0,-66.0,15.0,304,0.0
Sat Aug 20 13:29:12 UTC 2022,-94.0,-13.0,-66.0,13.8,304,0.0
Sat Aug 20 13:29:15 UTC 2022,-94.0,-13.0,-66.0,16.0,9216000,24.31538840492058
Sat Aug 20 13:29:18 UTC 2022,-94.0,-13.0,-66.0,3.4,24483616,39.48123888749041
Sat Aug 20 13:29:21 UTC 2022,-94.0,-13.0,-66.0,10.0,39333290,39.33074275179445
Sat Aug 20 13:29:24 UTC 2022,-94.0,-13.0,-66.0,13.8,53829436,38.719935200319824
Sat Aug 20 13:29:27 UTC 2022,-94.0,-13.0,-66.0,13.8,68983204,41.095219763646526
Sat Aug 20 13:29:30 UTC 2022,-94.0,-13.0,-60.0,15.8,80150794,30.044623109140698
Sat Aug 20 13:29:33 UTC 2022,-94.0,-13.0,-66.0,14.8,87739662,20.428703723582093
Sat Aug 20 13:29:36 UTC 2022,-94.0,-13.0,-66.0,14.8,95541246,20.55008348085217
Sat Aug 20 13:29:39 UTC 2022,-94.0,-13.0,-66.0,14.2,103095660,20.356102555097564
Sat Aug 20 13:29:42 UTC 2022,-94.0,-13.0,-66.0,13.4,110639588,20.27208946795872
Sat Aug 20 13:29:45 UTC 2022,-94.0,-13.0,-66.0,13.4,117937844,19.39641830251828
Sat Aug 20 13:29:48 UTC 2022,-94.0,-13.0,-66.0,12.4,126097450,22.25655747630215
Sat Aug 20 13:29:51 UTC 2022,-94.0,-13.0,-60.0,14.6,134251064,21.52946930662866
Sat Aug 20 13:29:54 UTC 2022,-94.0,-13.0,-60.0,14.6,141800984,20.281686183973108
Sat Aug 20 13:29:57 UTC 2022,-94.0,-13.0,-60.0,16.0,149644512,21.213483820694172
Sat Aug 20 13:30:00 UTC 2022,-94.0,-13.0,-60.0,1.6,156592236,18.658618772982635
Sat Aug 20 13:30:03 UTC 2022,-94.0,-13.0,-60.0,17.6,163331738,17.973840408517614
Sat Aug 20 13:30:06 UTC 2022,-94.0,-13.0,-66.0,13.2,170487684,19.399123652275822
Sat Aug 20 13:30:09 UTC 2022,-94.0,-13.0,-66.0,3.6,177128318,17.56846944945042
Sat Aug 20 13:30:12 UTC 2022,-94.0,-13.0,-66.0,10.4,184375642,19.421179746165734
Sat Aug 20 13:30:15 UTC 2022,-94.0,-13.0,-66.0,13.6,191320370,18.851778918490872
Sat Aug 20 13:30:18 UTC 2022,-94.0,-13.0,-66.0,18.0,198964664,20.669530672095927
