Time,ecioVal_signal_info(dB),rssiumts_signal_info(dBm),Sent Bytes,RATE(MBit/s)
Sat Aug 20 13:28:14 UTC 2022,-12.5,-70.0,94789,0
Sat Aug 20 13:28:18 UTC 2022,-12.5,-70.0,94789,0.0
Sat Aug 20 13:28:21 UTC 2022,-11.0,-70.0,94789,0.0
Sat Aug 20 13:28:24 UTC 2022,-9.5,-70.0,94789,0.0
Sat Aug 20 13:28:27 UTC 2022,-9.5,-70.0,94789,0.0
Sat Aug 20 13:28:30 UTC 2022,-9.5,-70.0,94789,0.0
Sat Aug 20 13:28:33 UTC 2022,-11.5,-70.0,94789,0.0
Sat Aug 20 13:28:36 UTC 2022,-11.5,-70.0,94789,0.0
Sat Aug 20 13:28:39 UTC 2022,-8.0,-70.0,94789,0.0
Sat Aug 20 13:28:42 UTC 2022,-12.0,-70.0,94789,0.0
Sat Aug 20 13:28:45 UTC 2022,-9.5,-70.0,94789,0.0
Sat Aug 20 13:28:48 UTC 2022,-11.5,-70.0,94789,0.0
Sat Aug 20 13:28:51 UTC 2022,-10.0,-70.0,3688911,9.693580189298087
Sat Aug 20 13:28:54 UTC 2022,-10.0,-70.0,9106117,13.337648433209033
Sat Aug 20 13:28:57 UTC 2022,-10.0,-70.0,14581599,14.357512003738416
Sat Aug 20 13:29:00 UTC 2022,-12.0,-70.0,19935597,14.133444107036675
Sat Aug 20 13:29:03 UTC 2022,-12.0,-70.0,25240088,13.933458344602208
Sat Aug 20 13:29:06 UTC 2022,-12.0,-70.0,30664492,14.427825332767025
Sat Aug 20 13:29:09 UTC 2022,-12.0,-70.0,36082910,14.422053222147515
Sat Aug 20 13:29:12 UTC 2022,-12.0,-70.0,41230187,13.892104622922712
Sat Aug 20 13:29:15 UTC 2022,-12.0,-70.0,46960113,15.11826955028171
Sat Aug 20 13:29:18 UTC 2022,-12.0,-76.0,52351415,13.941618794748624
Sat Aug 20 13:29:21 UTC 2022,-8.5,-76.0,57780167,14.378554598255128
Sat Aug 20 13:29:24 UTC 2022,-12.0,-76.0,62919805,13.728231649508869
Sat Aug 20 13:29:27 UTC 2022,-12.0,-76.0,67999523,13.775592152879138
Sat Aug 20 13:29:30 UTC 2022,-12.0,-76.0,73133169,13.811257329983256
Sat Aug 20 13:29:33 UTC 2022,-12.0,-76.0,78560423,14.609789496750478
Sat Aug 20 13:29:36 UTC 2022,-10.5,-76.0,83386979,12.71358851292352
Sat Aug 20 13:29:39 UTC 2022,-10.5,-76.0,88815731,14.628299754049886
Sat Aug 20 13:29:42 UTC 2022,-10.5,-76.0,93947879,13.791139499052138
Sat Aug 20 13:29:45 UTC 2022,-10.5,-76.0,99399101,14.487595690243028
Sat Aug 20 13:29:48 UTC 2022,-10.5,-76.0,104832347,14.819998892334844
Sat Aug 20 13:29:51 UTC 2022,-10.5,-70.0,110264095,14.342431693153687
Sat Aug 20 13:29:54 UTC 2022,-5.5,-70.0,115394745,13.782693488116646
Sat Aug 20 13:29:57 UTC 2022,-9.5,-70.0,119923199,12.24758624712729
Sat Aug 20 13:30:00 UTC 2022,-12.0,-70.0,124739761,12.935228019195176
Sat Aug 20 13:30:03 UTC 2022,-12.0,-70.0,129242618,12.008844733687502
Sat Aug 20 13:30:06 UTC 2022,-12.0,-70.0,134959943,15.499151982875203
Sat Aug 20 13:30:09 UTC 2022,-7.0,-70.0,140085093,13.559103121607185
Sat Aug 20 13:30:12 UTC 2022,-125,-125,145214397,13.745367939494203
Sat Aug 20 13:30:15 UTC 2022,-10.5,-62.0,150649217,14.75306521749917
Sat Aug 20 13:30:18 UTC 2022,-6.0,-62.0,156078279,14.679728897097688
Sat Aug 20 13:30:21 UTC 2022,-10.5,-62.0,161210503,13.743907282533355
Sat Aug 20 13:30:24 UTC 2022,-14.5,-62.0,166159895,13.179451357837397
Sat Aug 20 13:30:27 UTC 2022,-11.5,-62.0,171287549,13.795392715651754
Sat Aug 20 13:30:30 UTC 2022,-11.5,-62.0,176421235,13.786856005275538
Sat Aug 20 13:30:33 UTC 2022,-11.5,-62.0,181953349,14.9374458136384
