Time,rsrpVal_signal_info(dBm),rsrqVal_signal_info(dB),rssilte_signal_info(dBm),snrVal_signal_info(dB),Sent Bytes,RATE(MBit/s)
Sat Aug 20 13:29:30 UTC 2022,-94,-13,-60,15.8,80150794,30.0446231091407
Sat Aug 20 13:29:33 UTC 2022,-94,-13,-66,14.8,87739662,20.4287037235821
Sat Aug 20 13:29:36 UTC 2022,-94,-13,-66,14.8,95541246,20.5500834808522
Sat Aug 20 13:29:39 UTC 2022,-94,-13,-66,14.2,103095660,20.3561025550976
Sat Aug 20 13:29:42 UTC 2022,-94,-13,-66,13.4,110639588,20.2720894679587
Sat Aug 20 13:29:45 UTC 2022,-94,-13,-66,13.4,117937844,19.3964183025183
Sat Aug 20 13:29:48 UTC 2022,-94,-13,-66,12.4,126097450,22.2565574763021
Sat Aug 20 13:29:51 UTC 2022,-94,-13,-60,14.6,134251064,21.5294693066287
Sat Aug 20 13:29:54 UTC 2022,-94,-13,-60,14.6,141800984,20.2816861839731
Sat Aug 20 13:29:57 UTC 2022,-94,-13,-60,16,149644512,21.2134838206942
Sat Aug 20 13:30:00 UTC 2022,-94,-13,-60,1.6,156592236,18.6586187729826
Sat Aug 20 13:30:03 UTC 2022,-94,-13,-60,17.6,163331738,17.9738404085176
Sat Aug 20 13:30:06 UTC 2022,-94,-13,-66,13.2,170487684,19.3991236522758
Sat Aug 20 13:30:09 UTC 2022,-94,-13,-66,3.6,177128318,17.5684694494504
Sat Aug 20 13:30:12 UTC 2022,-94,-13,-66,10.4,184375642,19.4211797461657
Sat Aug 20 13:30:15 UTC 2022,-94,-13,-66,13.6,191320370,18.8517789184909
Sat Aug 20 13:30:18 UTC 2022,-94,-13,-66,18,198964664,20.6695306720959
Sat Aug 20 13:30:21 UTC 2022,-85,-13,-56,19.6,206716814,20.7599728383428
Sat Aug 20 13:30:24 UTC 2022,-85,-13,-56,16.6,214266734,20.1042478339893
Sat Aug 20 13:30:27 UTC 2022,-85,-13,-56,19.6,221208466,18.6759713246656
Sat Aug 20 13:30:30 UTC 2022,-85,-13,-56,19.6,228761382,20.2838594553585
Sat Aug 20 13:30:33 UTC 2022,-85,-8,-62,18.8,236618392,21.2149751672173
Sat Aug 20 13:30:36 UTC 2022,-85,-8,-62,19.2,244162320,19.8810061408363
Sat Aug 20 13:30:39 UTC 2022,-85,-8,-56,11.4,252131680,21.6900659360361
Sat Aug 20 13:30:42 UTC 2022,-85,-8,-56,19.8,259988690,20.40861682798
Sat Aug 20 13:30:45 UTC 2022,-85,-8,-62,17,267330388,19.595843014503
Sat Aug 20 13:30:48 UTC 2022,-85,-8,-62,19.4,275111000,21.0467013094045
Sat Aug 20 13:30:51 UTC 2022,-85,-8,-54,17.2,283087850,21.2688867919188
Sat Aug 20 13:30:54 UTC 2022,-85,-8,-61,14,290633276,20.2111127208998
Sat Aug 20 13:30:57 UTC 2022,-85,-8,-61,12.6,298180200,20.2754629787871
Sat Aug 20 13:31:00 UTC 2022,-85,-8,-61,15,305237278,18.5800130535852
Sat Aug 20 13:31:03 UTC 2022,-92,-8,-65,11.8,313089794,21.3396218215007
Sat Aug 20 13:31:06 UTC 2022,-92,-8,-65,11.8,320385054,18.5416924370512
Sat Aug 20 13:31:09 UTC 2022,-92,-8,-65,14.2,327629382,19.5128230694649
Sat Aug 20 13:31:12 UTC 2022,-92,-8,-57,9.6,335489388,21.2366516250846
Sat Aug 20 13:31:15 UTC 2022,-92,-8,-57,9.6,341834916,16.7782080135818
Sat Aug 20 13:31:18 UTC 2022,-92,-8,-57,14.2,349122686,19.716784571139
Sat Aug 20 13:31:21 UTC 2022,-92,-8,-57,9,355838220,18.1468521025065
Sat Aug 20 13:31:24 UTC 2022,-92,-8,-64,10.4,360670768,13.0094978085478
Sat Aug 20 13:31:27 UTC 2022,-92,-13,-64,11.2,363996328,8.52043321086253
Sat Aug 20 13:31:30 UTC 2022,-92,-13,-64,3.2,367016296,7.9359703413983
Sat Aug 20 13:31:33 UTC 2022,-97,-13,-64,3.2,375769110,23.0621380750295
Sat Aug 20 13:31:36 UTC 2022,-89,-13,-64,3.2,384229814,22.9693033135492
Sat Aug 20 13:31:39 UTC 2022,-89,-13,-52,-3.4,396305192,32.7273613341531
Sat Aug 20 13:31:42 UTC 2022,-89,-13,-52,12.2,409286860,34.2046670559534
Sat Aug 20 13:31:45 UTC 2022,-89,-13,-59,11,419853752,27.5359338113818
Sat Aug 20 13:31:48 UTC 2022,-89,-13,-59,11.2,428608064,23.8023143462497
Sat Aug 20 13:31:51 UTC 2022,-89,-13,-59,11,434746868,16.6574397212931
Sat Aug 20 13:31:54 UTC 2022,-84,-13,-47,-5,441391996,17.5760084234909
Sat Aug 20 13:31:57 UTC 2022,-84,-13,-47,3.4,445015658,9.77824653516139
Sat Aug 20 13:32:00 UTC 2022,-79,-13,-47,6.8,448941916,10.5183829613747
Sat Aug 20 13:32:03 UTC 2022,-79,-13,-47,8.2,454674762,15.1112939314294
Sat Aug 20 13:32:06 UTC 2022,-79,-13,-47,24.2,460167928,14.1782887908159
Sat Aug 20 13:32:09 UTC 2022,-74,-13,-47,22.4,466207864,16.3061818287991
Sat Aug 20 13:32:12 UTC 2022,-74,-13,-47,11.4,468438386,5.93251508559651
Sat Aug 20 13:32:15 UTC 2022,-83,-13,-47,-3.2,471155758,7.28508899073604
Sat Aug 20 13:32:18 UTC 2022,-65,-13,-37,21.6,473873130,7.16447345465313
Sat Aug 20 13:32:21 UTC 2022,-77,-13,-48,19.6,476283412,6.47237261480366
Sat Aug 20 13:32:24 UTC 2022,-70,-13,-42,21,479000784,7.38471998531369
Sat Aug 20 13:32:27 UTC 2022,-75,-8,-42,16.4,481773582,7.49642073650372
Sat Aug 20 13:32:30 UTC 2022,-75,-8,-42,17.4,484347146,6.92761030961014
Sat Aug 20 13:32:33 UTC 2022,-75,-8,-42,23,488788716,11.7418253899125
Sat Aug 20 13:32:36 UTC 2022,-85,-8,-55,15.2,500681338,31.411232731435
Sat Aug 20 13:32:39 UTC 2022,-85,-8,-55,13.4,512764206,32.6798271413127
Sat Aug 20 13:32:42 UTC 2022,-85,-8,-55,7,524340750,31.3645730762528
Sat Aug 20 13:32:45 UTC 2022,-92,-8,-55,-1.4,533099556,23.262018760719
Sat Aug 20 13:32:48 UTC 2022,-92,-8,-61,-2,543969044,28.9082275564364
Sat Aug 20 13:32:51 UTC 2022,-92,-8,-61,10.6,551514470,20.017431299988
Sat Aug 20 13:32:54 UTC 2022,-97,-13,-61,10,561179566,26.1032007046985
Sat Aug 20 13:32:57 UTC 2022,-97,-13,-61,1,572050552,29.3123228591698
Sat Aug 20 13:33:00 UTC 2022,-97,-13,-61,6.6,582320840,27.50693742854
Sat Aug 20 13:33:03 UTC 2022,-85,-13,-54,15.6,588968964,17.5261399269302
Sat Aug 20 13:33:06 UTC 2022,-92,-13,-64,7,597730766,22.880364232085
Sat Aug 20 13:33:09 UTC 2022,-92,-13,-64,12.8,609208442,30.9639523353079
Sat Aug 20 13:33:12 UTC 2022,-97,-13,-64,9.2,620681624,30.8697386234628
Sat Aug 20 13:33:15 UTC 2022,-97,-13,-64,5.4,628042796,19.5563021154206
Sat Aug 20 13:33:18 UTC 2022,-106,-13,-64,-7,635006998,18.1662978647033
Sat Aug 20 13:33:21 UTC 2022,-106,-13,-72,-2,644979184,26.6281106897495
Sat Aug 20 13:33:24 UTC 2022,-106,-13,-72,-0.8,654036092,24.514082687971
Sat Aug 20 13:33:27 UTC 2022,-106,-13,-72,-4.4,663524424,25.5134944428693
Sat Aug 20 13:33:30 UTC 2022,-106,-13,-72,-4,673246444,26.1373591596223
Sat Aug 20 13:33:33 UTC 2022,-106,-13,-66,-6,682012740,22.18407479044
Sat Aug 20 13:33:36 UTC 2022,-106,-13,-66,-1.4,690470448,23.0325110576669
Sat Aug 20 13:33:39 UTC 2022,-106,-13,-66,-1,697115576,16.5327079427697
Sat Aug 20 13:33:42 UTC 2022,-101,-13,-66,-0.2,703456610,17.1608691911587
Sat Aug 20 13:33:45 UTC 2022,-101,-13,-66,-0.2,711009526,19.5121652679863
Sat Aug 20 13:33:48 UTC 2022,-107,-19,-66,-8.8,716748364,15.4754047327544
Sat Aug 20 13:33:51 UTC 2022,-107,-19,-66,-8.2,720442432,10.0547710231707
Sat Aug 20 13:33:54 UTC 2022,-107,-19,-66,-8.2,724668290,11.2128812527215
Sat Aug 20 13:33:57 UTC 2022,-107,-19,-66,-5,729198242,12.1892600161785
Sat Aug 20 13:34:00 UTC 2022,-107,-19,-74,-0.2,732823402,9.80524005997862
Sat Aug 20 13:34:03 UTC 2022,-107,-19,-74,-0.2,736826058,10.5785865793897
Sat Aug 20 13:34:06 UTC 2022,-107,-19,-74,1.4,743468190,16.8817539869305
Sat Aug 20 13:34:09 UTC 2022,-100,-13,-68,3,749207028,15.1335133311712
Sat Aug 20 13:34:12 UTC 2022,-100,-13,-68,3,752228494,8.15126757344864
Sat Aug 20 13:34:15 UTC 2022,-105,-13,-68,-4.6,755246964,8.13902410503816
Sat Aug 20 13:34:18 UTC 2022,-105,-13,-68,2,757962838,7.18810568433065
Sat Aug 20 13:34:21 UTC 2022,-105,-13,-68,2,761161068,8.64907311169983
Sat Aug 20 13:34:24 UTC 2022,-105,-13,-77,4.2,764354804,8.45040127384298
Sat Aug 20 13:34:27 UTC 2022,-113,-13,-77,-3.4,767368780,8.05695656040167
Sat Aug 20 13:34:30 UTC 2022,-113,-13,-77,-1,770083156,7.34528148163972
Sat Aug 20 13:34:33 UTC 2022,-113,-13,-77,-3.8,772797532,6.87289306164192
Sat Aug 20 13:34:36 UTC 2022,-113,-18,-77,-4.6,775516402,7.32957492824542
Sat Aug 20 13:34:39 UTC 2022,-140,-3,0,-4.4,778835970,8.98382294699377
Sat Aug 20 13:34:42 UTC 2022,-140,-3,0,-4.4,784568816,15.0576866511784
Sat Aug 20 13:34:45 UTC 2022,-102,-12,-71,6.4,789401364,12.4555771910478
Sat Aug 20 13:34:48 UTC 2022,-107,-12,-71,2.6,794535010,13.7562518071815
Sat Aug 20 13:34:51 UTC 2022,-107,-12,-71,6,799969754,14.5438612212434
Sat Aug 20 13:34:54 UTC 2022,-107,-12,-71,4.2,806003698,16.2381326710684
Sat Aug 20 13:34:57 UTC 2022,-107,-12,-71,-4.8,812037642,16.0612788085379
Sat Aug 20 13:35:00 UTC 2022,-107,-18,-71,-2.2,814752018,7.33726803644912
Sat Aug 20 13:35:03 UTC 2022,-107,-18,-71,-9.8,819281970,12.3136965079843
Sat Aug 20 13:35:06 UTC 2022,-107,-18,-71,-4,823518314,11.3323246339229
Sat Aug 20 13:35:09 UTC 2022,-107,-18,-71,0.8,829562744,15.9957777961539
Sat Aug 20 13:35:12 UTC 2022,-107,-18,-71,-4.2,838633134,23.5853451590062
Sat Aug 20 13:35:15 UTC 2022,-107,-13,-71,-8,851017100,33.1443216706817
Sat Aug 20 13:35:18 UTC 2022,-94,-13,-63,10.8,864911050,37.1552296987448
Sat Aug 20 13:35:21 UTC 2022,-94,-13,-63,10.8,878802004,37.1027828166878
Sat Aug 20 13:35:24 UTC 2022,-94,-13,-63,8.4,894511530,41.8584591393773
Sat Aug 20 13:35:27 UTC 2022,-88,-13,-63,6.2,910222554,41.0867521124676
Sat Aug 20 13:35:30 UTC 2022,-88,-13,-63,6.2,924721696,38.6988016506216
Sat Aug 20 13:35:33 UTC 2022,-88,-13,-63,2.8,939614812,40.19359166994
Sat Aug 20 13:35:36 UTC 2022,-88,-13,-63,10.2,955550536,42.8485050186457
Sat Aug 20 13:35:39 UTC 2022,-88,-13,-63,10.2,967026714,28.9439217839562
Sat Aug 20 13:35:42 UTC 2022,-97,-13,-63,-1.2,977677494,28.5337341834717
Sat Aug 20 13:35:45 UTC 2022,-91,-13,-63,10.2,987953774,26.1249557166052
Sat Aug 20 13:35:48 UTC 2022,-91,-13,-63,10.2,997913976,26.7552634382974
Sat Aug 20 13:35:51 UTC 2022,-100,-13,-71,4.8,1008844882,29.3288104775846
Sat Aug 20 13:35:54 UTC 2022,-90,-13,-54,14.2,1023351514,38.8010022856454
Sat Aug 20 13:35:57 UTC 2022,-90,-13,-54,14.2,1037855150,39.0609119676014
Sat Aug 20 13:36:00 UTC 2022,-90,-13,-54,14.4,1053133252,41.0044571893621
Sat Aug 20 13:36:03 UTC 2022,-85,-13,-47,20.8,1069232258,42.7176309173711
Sat Aug 20 13:36:06 UTC 2022,-85,-13,-47,20.8,1083431800,38.4671834188559
Sat Aug 20 13:36:10 UTC 2022,-85,-13,-46,9.4,1101611528,48.5929595963958
Sat Aug 20 13:36:13 UTC 2022,-79,-13,-52,22.4,1116184072,33.3559251853704
Sat Aug 20 13:36:16 UTC 2022,-79,-13,-52,20.8,1130979818,39.6729153167525
