Time,ecioVal_signal_info(dB),rssiumts_signal_info(dBm),Sent Bytes,RATE(MBit/s)
Sat Aug 20 13:29:30 UTC 2022,-12,-76,73133169,13.8112573299833
Sat Aug 20 13:29:33 UTC 2022,-12,-76,78560423,14.6097894967505
Sat Aug 20 13:29:36 UTC 2022,-10.5,-76,83386979,12.7135885129235
Sat Aug 20 13:29:39 UTC 2022,-10.5,-76,88815731,14.6282997540499
Sat Aug 20 13:29:42 UTC 2022,-10.5,-76,93947879,13.7911394990521
Sat Aug 20 13:29:45 UTC 2022,-10.5,-76,99399101,14.487595690243
Sat Aug 20 13:29:48 UTC 2022,-10.5,-76,104832347,14.8199988923348
Sat Aug 20 13:29:51 UTC 2022,-10.5,-70,110264095,14.3424316931537
Sat Aug 20 13:29:54 UTC 2022,-5.5,-70,115394745,13.7826934881166
Sat Aug 20 13:29:57 UTC 2022,-9.5,-70,119923199,12.2475862471273
Sat Aug 20 13:30:00 UTC 2022,-12,-70,124739761,12.9352280191952
Sat Aug 20 13:30:03 UTC 2022,-12,-70,129242618,12.0088447336875
Sat Aug 20 13:30:06 UTC 2022,-12,-70,134959943,15.4991519828752
Sat Aug 20 13:30:09 UTC 2022,-7,-70,140085093,13.5591031216072
Sat Aug 20 13:30:12 UTC 2022,-125,-125,145214397,13.7453679394942
Sat Aug 20 13:30:15 UTC 2022,-10.5,-62,150649217,14.7530652174992
Sat Aug 20 13:30:18 UTC 2022,-6,-62,156078279,14.6797288970977
Sat Aug 20 13:30:21 UTC 2022,-10.5,-62,161210503,13.7439072825334
Sat Aug 20 13:30:24 UTC 2022,-14.5,-62,166159895,13.1794513578374
Sat Aug 20 13:30:27 UTC 2022,-11.5,-62,171287549,13.7953927156518
Sat Aug 20 13:30:30 UTC 2022,-11.5,-62,176421235,13.7868560052755
Sat Aug 20 13:30:33 UTC 2022,-11.5,-62,181953349,14.9374458136384
Sat Aug 20 13:30:36 UTC 2022,-9,-62,187286229,14.0540869462623
Sat Aug 20 13:30:39 UTC 2022,-12,-62,192409617,13.9442343595842
Sat Aug 20 13:30:42 UTC 2022,-6,-62,197835449,14.0936216526379
Sat Aug 20 13:30:45 UTC 2022,-6,-62,203265927,14.4945752851333
Sat Aug 20 13:30:48 UTC 2022,-6,-62,208697751,14.6931857408202
Sat Aug 20 13:30:51 UTC 2022,-4.5,-62,214128229,14.47942756953
Sat Aug 20 13:30:54 UTC 2022,-6,-62,219258955,13.7431182183818
Sat Aug 20 13:30:57 UTC 2022,-13.5,-62,224386761,13.776293588673
Sat Aug 20 13:31:00 UTC 2022,-11.5,-62,229811171,14.2814927946096
Sat Aug 20 13:31:03 UTC 2022,-13.5,-69,235248987,14.7775486194369
Sat Aug 20 13:31:06 UTC 2022,-11.5,-69,240676281,13.7940547853611
Sat Aug 20 13:31:09 UTC 2022,-10,-69,245805585,13.8159400597956
Sat Aug 20 13:31:12 UTC 2022,-8.5,-69,250933315,13.854418894527
Sat Aug 20 13:31:15 UTC 2022,-10.5,-69,256360873,14.3510039085447
Sat Aug 20 13:31:18 UTC 2022,-13,-69,261488679,13.8730841155242
Sat Aug 20 13:31:21 UTC 2022,-13,-69,266922001,14.6820328449376
Sat Aug 20 13:31:24 UTC 2022,-11,-69,272353901,14.6229879447138
Sat Aug 20 13:31:27 UTC 2022,-7.5,-69,277179263,12.3630831015631
Sat Aug 20 13:31:30 UTC 2022,-7.5,-69,280194813,7.9243605770007
Sat Aug 20 13:31:33 UTC 2022,-5,-69,285025863,12.7289740359354
Sat Aug 20 13:31:36 UTC 2022,-5,-69,290035327,13.5998018668784
Sat Aug 20 13:31:39 UTC 2022,-13,-69,295283125,14.2228741290456
Sat Aug 20 13:31:42 UTC 2022,-4.5,-69,299810157,11.9280220624689
Sat Aug 20 13:31:45 UTC 2022,-4.5,-69,304940883,13.3699986278213
Sat Aug 20 13:31:48 UTC 2022,-6.5,-69,310067115,13.9378383447842
Sat Aug 20 13:31:51 UTC 2022,-5,-69,315500361,14.7429316420522
Sat Aug 20 13:31:54 UTC 2022,-10.5,-60,320923273,14.3433124225522
Sat Aug 20 13:31:57 UTC 2022,-5,-52,326346261,14.6336257689657
Sat Aug 20 13:32:00 UTC 2022,-6.5,-61,331778161,14.551974019
Sat Aug 20 13:32:03 UTC 2022,-125,-125,337060413,13.9235665133654
Sat Aug 20 13:32:06 UTC 2022,-3.5,-61,342333525,13.6103122975561
Sat Aug 20 13:32:09 UTC 2022,-5,-61,347763851,14.6604008959127
Sat Aug 20 13:32:12 UTC 2022,-5,-61,352980039,13.8734852197412
Sat Aug 20 13:32:15 UTC 2022,-5,-48,358706969,15.3535087186134
Sat Aug 20 13:32:18 UTC 2022,-5,-48,364134299,14.309399564963
Sat Aug 20 13:32:21 UTC 2022,-5,-48,369262029,13.7695834877857
Sat Aug 20 13:32:24 UTC 2022,-7.5,-48,374693777,14.7612980522312
Sat Aug 20 13:32:27 UTC 2022,-5.5,-48,380125525,14.6850467804227
Sat Aug 20 13:32:30 UTC 2022,-4,-48,385257749,13.81510150656
Sat Aug 20 13:32:33 UTC 2022,-4,-48,390992093,15.159429204919
Sat Aug 20 13:32:36 UTC 2022,-4,-48,395823143,12.7599477968104
Sat Aug 20 13:32:39 UTC 2022,-6,-48,401256465,14.6951885730351
Sat Aug 20 13:32:42 UTC 2022,-6,-48,406692707,14.7285242874898
Sat Aug 20 13:32:45 UTC 2022,-4.5,-48,412121459,14.4179161944323
Sat Aug 20 13:32:48 UTC 2022,-4.5,-48,417553207,14.446145689035
Sat Aug 20 13:32:51 UTC 2022,-4.5,-48,422990947,14.4259034383475
