Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Fri Dec 17 14:07:46 UTC 2021,-79,-10,-49,0,0,0,13205091,34.9078579194726
Fri Dec 17 14:07:49 UTC 2021,-80,-9,-51,0,0,0,32999663,53.2548813185421
Fri Dec 17 14:07:52 UTC 2021,-80,-10,-45,0,0,0,52034749,51.5264139000899
Fri Dec 17 14:07:55 UTC 2021,-81,-9,-52,0,0,0,76091131,65.4613803180111
Fri Dec 17 14:07:58 UTC 2021,-80,-9,-53,0,0,0,106550171,81.5992356519955
Fri Dec 17 14:08:01 UTC 2021,-86,-11,-54,0,0,0,134756013,76.6679743708859
Fri Dec 17 14:08:04 UTC 2021,-87,-12,-56,0,0,0,156805075,59.2564323279927
Fri Dec 17 14:08:07 UTC 2021,-86,-10,-56,0,0,0,177658733,56.3972554687157
Fri Dec 17 14:08:10 UTC 2021,-84,-10,-49,0,0,0,200344445,62.1257800246699
Fri Dec 17 14:08:13 UTC 2021,-81,-9,-53,0,0,0,221888785,58.5573428892123
Fri Dec 17 14:08:16 UTC 2021,-85,-9,-54,0,0,0,242526124,55.9536094717874
Fri Dec 17 14:08:18 UTC 2021,-86,-9,-57,0,0,0,257799289,41.136293737275
Fri Dec 17 14:08:21 UTC 2021,-84,-11,-54,0,0,0,272827755,40.3828778001707
Fri Dec 17 14:08:25 UTC 2021,-82,-9,-53,0,0,0,299288639,72.1475977464212
Fri Dec 17 14:08:28 UTC 2021,-84,-10,-53,0,0,0,317459471,46.2842433443643
Fri Dec 17 14:08:30 UTC 2021,-86,-10,-58,0,0,0,334307477,45.7339271446522
Fri Dec 17 14:08:33 UTC 2021,-83,-9,-50,0,0,0,350445523,43.8322967133694
Fri Dec 17 14:08:36 UTC 2021,-85,-11,-56,0,0,0,373646547,63.2335174378379
Fri Dec 17 14:08:39 UTC 2021,-86,-11,-57,0,0,0,388894689,40.9311130822703
Fri Dec 17 14:08:42 UTC 2021,-88,-11,-57,0,0,0,401287643,33.3789385244161
Fri Dec 17 14:08:45 UTC 2021,-81,-11,-50,0,0,0,415574069,38.7425596396933
Fri Dec 17 14:08:48 UTC 2021,-81,-10,-52,0,0,0,442766672,73.698918440758
Fri Dec 17 14:08:51 UTC 2021,-80,-10,-50,0,0,0,476130642,90.8837602858942
Fri Dec 17 14:08:54 UTC 2021,-82,-10,-48,0,0,0,501579823,66.2879159094139
Fri Dec 17 14:08:57 UTC 2021,-84,-10,-51,0,0,0,518447343,45.5138941419379
Fri Dec 17 14:09:00 UTC 2021,-85,-13,-50,0,0,0,531754159,36.3268831439026
Fri Dec 17 14:09:03 UTC 2021,-85,-14,-50,0,0,0,547510175,42.8999255192123
Fri Dec 17 14:09:06 UTC 2021,-85,-13,-51,0,0,0,562130655,39.7323376411205
Fri Dec 17 14:09:09 UTC 2021,-78,-11,-46,0,0,0,575937721,36.3723446866419
Fri Dec 17 14:09:12 UTC 2021,-74,-10,-47,0,0,0,596841159,56.4737454518545
Fri Dec 17 14:09:15 UTC 2021,-77,-8,-46,0,0,0,620866403,65.4773039375663
Fri Dec 17 14:09:18 UTC 2021,-77,-8,-48,0,0,0,643010795,60.1213393252463
Fri Dec 17 14:09:21 UTC 2021,-75,-9,-48,0,0,0,664770795,59.3767027835545
Fri Dec 17 14:09:24 UTC 2021,-77,-10,-47,0,0,0,686396040,58.0742668493139
Fri Dec 17 14:09:27 UTC 2021,-78,-10,-48,0,0,0,709512072,62.6522721969597
Fri Dec 17 14:09:30 UTC 2021,-78,-9,-50,0,0,0,734710296,67.7932070690484
Fri Dec 17 14:09:33 UTC 2021,-74,-9,-44,0,0,0,760882078,71.0007954267306
Fri Dec 17 14:09:36 UTC 2021,-77,-9,-46,0,0,0,790730651,81.3114334992979
Fri Dec 17 14:09:39 UTC 2021,-75,-9,-44,0,0,0,816908447,69.7496358536154
Fri Dec 17 14:09:42 UTC 2021,-82,-10,-48,0,0,0,841254407,65.9600236876287
Fri Dec 17 14:09:44 UTC 2021,-80,-11,-48,0,0,0,867285153,70.7522493162469
Fri Dec 17 14:09:47 UTC 2021,-87,-16,-47,0,0,0,886554141,51.5586784143354
Fri Dec 17 14:09:50 UTC 2021,-79,-10,-47,0,0,0,905893321,52.9960373256048
Fri Dec 17 14:09:53 UTC 2021,-76,-9,-49,0,0,0,938381945,87.2326731090896
Fri Dec 17 14:09:56 UTC 2021,-74,-8,-39,0,0,0,971657019,90.0070951502116
Fri Dec 17 14:09:59 UTC 2021,-76,-8,-46,0,0,0,1005164283,91.069256454481
Fri Dec 17 14:10:02 UTC 2021,-77,-9,-47,0,0,0,1037551043,87.4832034151635
Fri Dec 17 14:10:05 UTC 2021,-76,-9,-44,0,0,0,1069812986,84.5532175207744
Fri Dec 17 14:10:08 UTC 2021,-77,-9,-47,0,0,0,1102247619,88.2932958007842
Fri Dec 17 14:10:11 UTC 2021,-76,-9,-43,0,0,0,1134626969,88.0648171371078
Fri Dec 17 14:10:14 UTC 2021,-77,-9,-46,0,0,0,1165921687,84.4533322921151
Fri Dec 17 14:10:17 UTC 2021,-74,-9,-42,0,0,0,1195619537,80.0133056403223
Fri Dec 17 14:10:20 UTC 2021,-73,-9,-42,0,0,0,1227739733,86.5442604210029
Fri Dec 17 14:10:23 UTC 2021,-67,-9,-39,0,0,0,1260559415,88.3651651872272
Fri Dec 17 14:10:26 UTC 2021,-65,-9,-33,0,0,0,1293812019,90.3257065592544
Fri Dec 17 14:10:29 UTC 2021,-70,-9,-40,0,0,0,1329038334,95.896081460654
Fri Dec 17 14:10:32 UTC 2021,-74,-9,-46,0,0,0,1362068206,89.4569848030506
Fri Dec 17 14:10:35 UTC 2021,-72,-8,-47,0,0,0,1393771878,85.4085549035702
Fri Dec 17 14:10:38 UTC 2021,-74,-8,-41,0,0,0,1427200090,89.7911437377224
Fri Dec 17 14:10:41 UTC 2021,-72,-8,-44,0,0,0,1462419984,95.4956662705235
Fri Dec 17 14:10:44 UTC 2021,-73,-9,-43,0,0,0,1495274252,88.3423871418989
Fri Dec 17 14:10:47 UTC 2021,-69,-9,-41,0,0,0,1529648858,93.36889523921
Fri Dec 17 14:10:50 UTC 2021,-73,-8,-45,0,0,0,1564350028,91.6990203743754
Fri Dec 17 14:10:53 UTC 2021,-81,-8,-53,0,0,0,1594050674,80.5126403459866
Fri Dec 17 14:10:56 UTC 2021,-80,-9,-49,0,0,0,1618829122,65.9266125364722
Fri Dec 17 14:10:59 UTC 2021,-76,-9,-44,0,0,0,1646561924,75.065372968943
Fri Dec 17 14:11:02 UTC 2021,-78,-9,-43,0,0,0,1667115982,55.9691514287489
Fri Dec 17 14:11:05 UTC 2021,-88,-11,-57,0,0,0,1684692068,46.7149765339373
Fri Dec 17 14:11:08 UTC 2021,-88,-10,-56,0,0,0,1699425709,39.8151546271364
Fri Dec 17 14:11:10 UTC 2021,-92,-10,-63,0,0,0,1709509447,27.5707789800769
Fri Dec 17 14:11:13 UTC 2021,-99,-12,-66,0,0,0,1716351370,18.3927235306034
Fri Dec 17 14:11:16 UTC 2021,-98,-11,-65,0,0,0,1724505171,22.0926029949709
Fri Dec 17 14:11:19 UTC 2021,-97,-12,-66,0,0,0,1731690945,19.5588982151165
Fri Dec 17 14:11:22 UTC 2021,-102,-12,-66,0,0,0,1737241147,15.0440520229593
Fri Dec 17 14:11:25 UTC 2021,-102,-13,-66,0,0,0,1742140446,13.3039058116161
Fri Dec 17 14:11:28 UTC 2021,-109,-14,-75,0,0,0,1745565591,9.30690978370867
Fri Dec 17 14:11:31 UTC 2021,-109,-15,-74,0,0,0,1748817282,8.39908774023458
Fri Dec 17 14:11:34 UTC 2021,-109,-15,-75,0,0,0,1752201420,9.28390307549435
Fri Dec 17 14:11:37 UTC 2021,-111,-18,-72,0,0,0,1756078296,10.4719514366803
Fri Dec 17 14:11:40 UTC 2021,-106,-14,-74,0,0,0,1759487209,9.17786075327856
Fri Dec 17 14:11:43 UTC 2021,-103,-12,-71,0,0,0,1764883005,14.6391064596207
Fri Dec 17 14:11:46 UTC 2021,-102,-10,-70,0,0,0,1770593381,15.2390302183093
Fri Dec 17 14:11:49 UTC 2021,-103,-11,-71,0,0,0,1775697624,13.6400613824711
Fri Dec 17 14:11:52 UTC 2021,-108,-14,-74,0,0,0,1780621654,13.4385656677223
Fri Dec 17 14:11:55 UTC 2021,-108,-14,-73,0,0,0,1783388460,7.496110161781
Fri Dec 17 14:11:58 UTC 2021,-108,-15,-71,0,0,0,1786096896,7.37751364465417
Fri Dec 17 14:12:01 UTC 2021,-105,-12,-71,0,0,0,1789528814,9.1205339583668
Fri Dec 17 14:12:04 UTC 2021,-102,-13,-67,0,0,0,1794517464,13.3685136153964
Fri Dec 17 14:12:07 UTC 2021,-100,-10,-70,0,0,0,1801116206,17.9845890881095
Fri Dec 17 14:12:10 UTC 2021,-98,-10,-69,0,0,0,1808760552,20.6048755162763
Fri Dec 17 14:12:13 UTC 2021,-99,-9,-70,0,0,0,1817124443,22.8024776250806
Fri Dec 17 14:12:16 UTC 2021,-96,-9,-63,0,0,0,1826136463,24.0454350266987
Fri Dec 17 14:12:19 UTC 2021,-96,-8,-65,0,0,0,1836528322,28.0632270586424
Fri Dec 17 14:12:22 UTC 2021,-92,-8,-63,0,0,0,1847067272,28.5022228154436
Fri Dec 17 14:12:25 UTC 2021,-89,-7,-61,0,0,0,1863159911,44.1781121862005
Fri Dec 17 14:12:28 UTC 2021,-90,-8,-64,0,0,0,1879155766,41.9553396815974
Fri Dec 17 14:12:31 UTC 2021,-91,-7,-63,0,0,0,1893221359,37.9649356136594
Fri Dec 17 14:12:33 UTC 2021,-90,-7,-62,0,0,0,1908336231,40.93222758414
Fri Dec 17 14:12:36 UTC 2021,-74,-6,-45,0,0,0,1931519808,63.122389829757
Fri Dec 17 14:12:39 UTC 2021,-78,-7,-53,0,0,0,1956498882,66.6905606426986
Fri Dec 17 14:12:42 UTC 2021,-75,-7,-49,0,0,0,1977814068,57.6640488715472
Fri Dec 17 14:12:45 UTC 2021,-76,-7,-48,0,0,0,1999559036,58.9250883852644
Fri Dec 17 14:12:48 UTC 2021,-76,-7,-48,0,0,0,2020247431,56.2369472025807
Fri Dec 17 14:12:51 UTC 2021,-80,-7,-55,0,0,0,2037837504,47.7985675582148
Fri Dec 17 14:12:54 UTC 2021,-89,-9,-60,0,0,0,2051909716,38.1713875434628
Fri Dec 17 14:12:57 UTC 2021,-90,-10,-55,0,0,0,2067078464,41.3203326145226
Fri Dec 17 14:13:00 UTC 2021,-90,-9,-60,0,0,0,2079347084,33.0591938366065
Fri Dec 17 14:13:03 UTC 2021,-85,-9,-56,0,0,0,2092709244,36.2081626923224
Fri Dec 17 14:13:06 UTC 2021,-78,-7,-50,0,0,0,2105468707,34.2813498889246
Fri Dec 17 14:13:09 UTC 2021,-79,-6,-56,0,0,0,2138779275,90.9214104124105
Fri Dec 17 14:13:12 UTC 2021,-71,-4,-46,0,0,0,2173724965,93.6691061145937
Fri Dec 17 14:13:15 UTC 2021,-68,-4,-45,0,0,0,2207240450,90.1203685104761
Fri Dec 17 14:13:18 UTC 2021,-69,-4,-45,0,0,0,2243210514,96.8960564243608
Fri Dec 17 14:13:21 UTC 2021,-65,-5,-40,0,0,0,2278152725,94.787327079935
Fri Dec 17 14:13:24 UTC 2021,-70,-4,-46,0,0,0,2313181506,94.9915156038397
Fri Dec 17 14:13:27 UTC 2021,-64,-4,-39,0,0,0,2347807940,91.2010744561371
Fri Dec 17 14:13:30 UTC 2021,-63,-5,-36,0,0,0,2382925738,94.6931686636491
Fri Dec 17 14:13:33 UTC 2021,-62,-4,-35,0,0,0,2418185847,95.3894856751804
Fri Dec 17 14:13:36 UTC 2021,-67,-4,-43,0,0,0,2455305571,101.032966367444
Fri Dec 17 14:13:39 UTC 2021,-65,-4,-40,0,0,0,2489107941,85.9615157790781
Fri Dec 17 14:13:42 UTC 2021,-70,-4,-50,0,0,0,2523004685,92.2343215956904
Fri Dec 17 14:13:45 UTC 2021,-77,-5,-49,0,0,0,2557680008,94.4886702955698
Fri Dec 17 14:13:48 UTC 2021,-86,-9,-55,0,0,0,2582732209,67.1547140088364
Fri Dec 17 14:13:51 UTC 2021,-70,-4,-46,0,0,0,2614937711,87.9507298952091
Fri Dec 17 14:13:54 UTC 2021,-73,-3,-51,0,0,0,2648295175,87.4061920490045
Fri Dec 17 14:13:57 UTC 2021,-68,-4,-42,0,0,0,2679971622,83.9027604990712
Fri Dec 17 14:14:00 UTC 2021,-66,-4,-44,0,0,0,2712400528,88.1227004564883
Fri Dec 17 14:14:03 UTC 2021,-68,-4,-36,0,0,0,2744445744,85.7343842559424
Fri Dec 17 14:14:06 UTC 2021,-66,-4,-45,0,0,0,2775217740,82.7274836036609
Fri Dec 17 14:14:09 UTC 2021,-66,-4,-42,0,0,0,2809817046,93.9937386777828
Fri Dec 17 14:14:11 UTC 2021,-70,-4,-47,0,0,0,2842110930,87.7047043450939
Fri Dec 17 14:14:14 UTC 2021,-70,-4,-46,0,0,0,2877351420,95.7807389544598
Fri Dec 17 14:14:17 UTC 2021,-71,-4,-47,0,0,0,2912141296,92.6209682802321
Fri Dec 17 14:14:20 UTC 2021,-71,-4,-46,0,0,0,2947540614,94.5040234139521
Fri Dec 17 14:14:23 UTC 2021,-69,-4,-45,0,0,0,2981055368,90.2382787882254
Fri Dec 17 14:14:26 UTC 2021,-72,-4,-43,0,0,0,3015313130,93.4990867389799
Fri Dec 17 14:14:29 UTC 2021,-75,-4,-51,0,0,0,3048712932,90.8775350192103
Fri Dec 17 14:14:32 UTC 2021,-76,-4,-51,0,0,0,3080040766,83.3543221050243
Fri Dec 17 14:14:35 UTC 2021,-76,-4,-49,0,0,0,3112207400,87.2063744735337
Fri Dec 17 14:14:38 UTC 2021,-74,-4,-48,0,0,0,3145075603,88.1055532078531
Fri Dec 17 14:14:41 UTC 2021,-72,-4,-44,0,0,0,3175752118,83.6374071196506
Fri Dec 17 14:14:44 UTC 2021,-74,-5,-47,0,0,0,3205304744,79.7024297357432
Fri Dec 17 14:14:47 UTC 2021,-75,-9,-46,0,0,0,3236051308,82.3096558836693
Fri Dec 17 14:14:50 UTC 2021,-82,-15,-41,0,0,0,3253525478,47.5394689734521
Fri Dec 17 14:14:53 UTC 2021,-71,-10,-42,-71,-10,-61,3290876610,101.485672648077
Fri Dec 17 14:14:56 UTC 2021,-67,-10,-34,-70,-10,-60,3329529504,103.581841801167
Fri Dec 17 14:14:59 UTC 2021,-73,-10,-44,-78,-10,-67,3367362992,100.272537788283
Fri Dec 17 14:15:02 UTC 2021,-86,-11,-54,-81,-20,-56,3401405042,91.6627856384644
Fri Dec 17 14:15:05 UTC 2021,-87,-10,-55,-89,-10,-79,3430712723,79.2348541977328
Fri Dec 17 14:15:08 UTC 2021,-90,-11,-61,-90,-11,-79,3457928387,72.9975024908832
Fri Dec 17 14:15:11 UTC 2021,-88,-11,-55,-81,-20,-56,3483710010,69.4071457615522
Fri Dec 17 14:15:14 UTC 2021,-89,-11,-57,-93,-12,-81,3507474478,64.5763466851542
Fri Dec 17 14:15:17 UTC 2021,-90,-11,-57,-92,-12,-80,3535524528,76.2729833023591
Fri Dec 17 14:15:20 UTC 2021,-89,-11,-59,-93,-11,-82,3563451742,75.8589374290978
Fri Dec 17 14:15:23 UTC 2021,-89,-11,-57,-140,-20,-120,3592633929,78.5567503475098
Fri Dec 17 14:15:26 UTC 2021,-90,-12,-58,-89,-11,-78,3619617501,73.1826304055202
Fri Dec 17 14:15:29 UTC 2021,-89,-11,-57,-89,-20,-67,3646786249,72.6471974698888
Fri Dec 17 14:15:32 UTC 2021,-90,-11,-58,-92,-11,-80,3672140408,69.0091779906184
Fri Dec 17 14:15:34 UTC 2021,-89,-11,-60,-91,-11,-80,3699520215,74.8085688627057
Fri Dec 17 14:15:37 UTC 2021,-90,-11,-57,-93,-12,-81,3727778952,76.4807064953891
Fri Dec 17 14:15:40 UTC 2021,-89,-11,-60,-92,-14,-77,3754560248,72.8077478894652
Fri Dec 17 14:15:43 UTC 2021,-89,-11,-57,-94,-11,-82,3780075277,68.1365506944291
Fri Dec 17 14:15:46 UTC 2021,-90,-11,-57,-91,-11,-80,3808191319,75.6839389499689
