Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Mon Mar 07 18:47:41 UTC 2022,-100,-15,-67,-104,-13,-91,3868358,10.2544604823451
Mon Mar 07 18:47:44 UTC 2022,-100,-16,-67,-104,-13,-90,8305434,11.973389640501
Mon Mar 07 18:47:47 UTC 2022,-100,-16,-67,-109,-14,-95,12616678,11.7265969512242
Mon Mar 07 18:47:50 UTC 2022,-100,-15,-67,-105,-13,-91,16876990,11.5430336025952
Mon Mar 07 18:47:53 UTC 2022,-102,-16,-67,-106,-15,-91,20854180,10.8394236689665
Mon Mar 07 18:47:55 UTC 2022,-101,-16,-68,-112,-16,-96,25899444,13.7031672447053
Mon Mar 07 18:47:58 UTC 2022,-102,-17,-68,-113,-15,-97,30946206,13.7373102816687
Mon Mar 07 18:48:01 UTC 2022,-101,-17,-67,-107,-14,-92,35994466,13.6979059866802
Mon Mar 07 18:48:04 UTC 2022,-102,-16,-69,-112,-16,-96,41113132,13.4080432595956
Mon Mar 07 18:48:07 UTC 2022,-100,-14,-67,-113,-16,-97,45791386,12.7799053363036
Mon Mar 07 18:48:10 UTC 2022,-102,-15,-70,-116,-20,-96,50682356,13.1475613366707
Mon Mar 07 18:48:13 UTC 2022,-101,-15,-70,-112,-16,-96,55017568,11.7819328892672
Mon Mar 07 18:48:16 UTC 2022,-101,-15,-68,-115,-18,-96,58812002,10.3943909395199
Mon Mar 07 18:48:19 UTC 2022,-101,-16,-68,-112,-16,-96,62778706,10.8300166437968
Mon Mar 07 18:48:22 UTC 2022,-102,-15,-69,0,0,0,66096776,8.53175635106759
Mon Mar 07 18:48:25 UTC 2022,-101,-15,-70,-116,-18,-97,70286682,11.5290415636186
Mon Mar 07 18:48:28 UTC 2022,-103,-16,-69,-111,-15,-96,73732082,9.32154507927979
Mon Mar 07 18:48:31 UTC 2022,-102,-15,-70,-117,-19,-97,77793160,10.9608922414076
Mon Mar 07 18:48:34 UTC 2022,-101,-15,-70,-114,-17,-96,81689458,10.6527802074798
Mon Mar 07 18:48:37 UTC 2022,-101,-15,-69,-115,-17,-97,85533326,10.4845141689538
Mon Mar 07 18:48:40 UTC 2022,-101,-14,-68,-105,-14,-91,89983884,11.8381328933179
Mon Mar 07 18:48:43 UTC 2022,-101,-15,-69,-122,-20,-97,94417964,11.6607185616313
Mon Mar 07 18:48:46 UTC 2022,-102,-16,-69,-107,-15,-92,99316424,13.304892717059
Mon Mar 07 18:48:49 UTC 2022,-102,-15,-69,-110,-14,-96,103377502,10.145851249204
Mon Mar 07 18:48:52 UTC 2022,-103,-15,-70,-118,-20,-97,107768140,11.9318527717366
Mon Mar 07 18:48:55 UTC 2022,-102,-15,-70,-115,-17,-97,111496662,10.049034481119
Mon Mar 07 18:48:58 UTC 2022,-102,-15,-70,-113,-16,-97,115333040,10.4754723159836
Mon Mar 07 18:49:01 UTC 2022,-103,-16,-68,-112,-15,-97,119409098,11.1342609936509
Mon Mar 07 18:49:04 UTC 2022,-102,-15,-70,-114,-16,-97,123443212,10.9402473731088
Mon Mar 07 18:49:07 UTC 2022,-102,-15,-69,-114,-16,-97,127197200,10.2227391074521
Mon Mar 07 18:49:10 UTC 2022,-103,-16,-69,-104,-13,-91,130972160,9.71724078352535
Mon Mar 07 18:49:13 UTC 2022,-102,-15,-70,-113,-17,-95,135389762,11.9783038757996
Mon Mar 07 18:49:16 UTC 2022,-102,-15,-70,-113,-16,-96,140024574,12.4916851879863
